                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.097756,               0.067789,               0.010458,               0.032104,                0.34122,                 0.2591,                0.19369,               0.082147,                0.26051,                0.19677,                0.11768,               0.041177,               0.092099,               0.069299,              0.0065532,               0.027702,               0.070008,              0.0033325,              0.0033325
                      1,               0.087323,               0.061475,               0.010361,               0.028342,                0.38041,                0.26668,                0.21529,               0.096909,                 0.2947,                0.20109,                0.13109,               0.049039,               0.090234,               0.067478,                0.00627,               0.026669,               0.039876,              0.0065338,              0.0065338
                      2,               0.086502,               0.061129,               0.010367,               0.028136,                0.38793,                0.27555,                0.22071,               0.095992,                0.30442,                0.21093,                0.14163,               0.053577,               0.089693,                0.06716,              0.0062681,               0.026327,              0.0096118,              0.0096032,              0.0096032
                      3,               0.084989,               0.060049,                0.01028,               0.027537,                0.41513,                0.28899,                 0.2386,                0.10841,                0.31587,                0.22283,                0.15213,               0.057122,               0.088086,               0.066373,              0.0062353,               0.025523,               0.009406,               0.009406,               0.009406
                      4,               0.083489,               0.059198,               0.010216,               0.026933,                0.42171,                0.29475,                0.24848,                0.11733,                0.32987,                0.22754,                 0.1594,               0.061283,               0.087075,               0.065463,              0.0062053,               0.025013,               0.009406,               0.009406,               0.009406
                      5,               0.082778,               0.058679,               0.010175,               0.026643,                0.43742,                 0.2977,                0.25862,                0.12248,                0.33778,                0.23187,                0.16658,               0.063713,               0.086415,               0.065065,              0.0061898,               0.024633,               0.009208,               0.009208,               0.009208
                      6,               0.081902,               0.058351,               0.010173,               0.026188,                0.44423,                 0.3025,                0.26492,                0.12645,                0.34588,                0.23711,                 0.1719,               0.065956,               0.085809,               0.064557,              0.0061843,               0.024304,                0.00901,                0.00901,                0.00901
                      7,               0.081705,               0.057996,               0.010153,               0.026024,                0.44806,                0.30443,                0.26821,                0.12902,                0.34928,                0.23733,                0.17436,               0.066844,               0.085531,               0.064279,              0.0061838,               0.024107,               0.008812,               0.008812,               0.008812
                      8,               0.081223,                0.05799,               0.010208,               0.025864,                0.45111,                0.30832,                0.27549,                0.13388,                0.35452,                0.24263,                0.18048,               0.069647,               0.085091,               0.064015,              0.0061529,               0.023832,               0.008614,               0.008614,               0.008614
                      9,               0.081064,               0.057529,               0.010105,               0.025751,                0.46348,                0.30928,                0.27784,                0.13589,                0.36725,                0.24123,                0.18332,               0.071539,               0.084771,               0.063807,              0.0061557,               0.023647,               0.008416,               0.008416,               0.008416
                     10,               0.080732,               0.057473,               0.010148,                0.02552,                0.47024,                0.31022,                0.28123,                0.13916,                0.36877,                0.24298,                0.18484,                0.07211,               0.084533,               0.063433,              0.0061406,                0.02349,               0.008218,               0.008218,               0.008218
                     11,               0.080472,               0.057022,               0.010093,               0.025347,                0.47042,                0.31274,                0.28429,                0.14077,                0.37316,                0.24646,                0.18883,               0.073994,               0.084255,               0.063284,              0.0061379,               0.023338,                0.00802,                0.00802,                0.00802
                     12,               0.080179,               0.057075,               0.010084,               0.025272,                0.47929,                0.31464,                0.28676,                0.14308,                0.37773,                0.24889,                0.19224,               0.075585,               0.084049,               0.063156,               0.006127,               0.023208,               0.007822,               0.007822,               0.007822
                     13,               0.079958,               0.056897,               0.010038,               0.025142,                0.48092,                0.31639,                0.28848,                0.14462,                0.37939,                0.24964,                0.19369,               0.076423,               0.083884,               0.063037,              0.0061219,               0.023111,               0.007624,               0.007624,               0.007624
                     14,               0.079745,               0.056861,               0.010099,               0.024976,                0.47799,                0.31784,                0.28928,                 0.1456,                0.38006,                0.25139,                0.19606,               0.077311,               0.083752,               0.062957,               0.006116,               0.023023,               0.007426,               0.007426,               0.007426
                     15,               0.079597,               0.056707,               0.010087,               0.024885,                0.47994,                0.31905,                0.29106,                0.14644,                0.37937,                0.25326,                0.19758,               0.078077,               0.083616,               0.062865,              0.0061126,               0.022949,               0.007228,               0.007228,               0.007228
                     16,               0.079479,               0.056617,               0.010074,               0.024882,                 0.4815,                0.32056,                0.29238,                0.14723,                0.37977,                  0.254,                0.19832,               0.078635,               0.083512,               0.062804,               0.006112,               0.022885,                0.00703,                0.00703,                0.00703
                     17,               0.079201,               0.056419,               0.010081,               0.024681,                0.48426,                0.32091,                0.29384,                0.14823,                0.38296,                0.25487,                0.19973,               0.079297,               0.083418,               0.062738,              0.0061097,               0.022822,               0.006832,               0.006832,               0.006832
                     18,               0.079201,               0.056496,               0.010056,               0.024556,                0.48487,                0.32167,                0.29448,                0.14885,                0.38486,                0.25466,                0.20035,                0.07965,               0.083335,               0.062661,              0.0061076,               0.022767,               0.006634,               0.006634,               0.006634
                     19,               0.078867,               0.056287,               0.010043,               0.024473,                0.48424,                0.32203,                0.29521,                0.14966,                0.38572,                0.25564,                0.20113,               0.080007,               0.083259,               0.062598,              0.0061055,               0.022715,               0.006436,               0.006436,               0.006436
                     20,               0.078766,               0.056146,               0.009993,               0.024386,                0.48779,                0.32217,                0.29616,                0.15029,                0.38848,                0.25591,                0.20212,               0.080482,               0.083183,               0.062532,               0.006103,               0.022659,               0.006238,               0.006238,               0.006238
                     21,                0.07864,               0.055751,               0.010025,               0.024204,                0.48955,                0.32396,                 0.2976,                0.15099,                0.38985,                0.25724,                0.20343,                0.08102,               0.083104,               0.062476,              0.0061001,               0.022602,                0.00604,                0.00604,                0.00604
                     22,                0.07852,               0.055962,               0.010022,               0.024162,                0.49327,                0.32421,                0.29866,                0.15173,                0.39243,                0.25718,                0.20432,               0.081641,               0.083026,               0.062421,              0.0060977,               0.022546,               0.005842,               0.005842,               0.005842
                     23,               0.078225,               0.055697,              0.0099722,               0.024028,                0.49414,                0.32548,                0.29992,                0.15236,                0.39495,                0.25722,                0.20431,                0.08183,               0.082944,               0.062349,              0.0060947,               0.022487,               0.005644,               0.005644,               0.005644
                     24,               0.078063,               0.055409,               0.009962,               0.023954,                0.49627,                0.32614,                0.30085,                0.15325,                0.39632,                0.25793,                0.20536,               0.082248,               0.082859,               0.062288,              0.0060907,               0.022427,               0.005446,               0.005446,               0.005446
                     25,                0.07798,               0.055313,              0.0099725,               0.023856,                0.49706,                0.32666,                0.30172,                0.15399,                0.39652,                0.25906,                0.20597,               0.082617,               0.082772,               0.062224,              0.0060861,               0.022363,               0.005248,               0.005248,               0.005248
                     26,               0.077843,               0.055245,              0.0099883,               0.023752,                0.49859,                0.32734,                0.30293,                0.15484,                0.39942,                 0.2597,                0.20718,               0.083239,                0.08268,                0.06215,              0.0060821,               0.022291,                0.00505,                0.00505,                0.00505
                     27,                0.07765,               0.055192,              0.0099211,               0.023663,                 0.5012,                0.32738,                0.30409,                0.15567,                0.40052,                0.26112,                0.20848,               0.083981,               0.082592,               0.062091,              0.0060782,               0.022221,               0.004852,               0.004852,               0.004852
                     28,               0.077441,               0.055206,              0.0099138,               0.023617,                0.50202,                0.32846,                 0.3051,                0.15661,                0.40376,                0.26137,                0.21006,               0.084556,               0.082503,               0.062014,              0.0060744,               0.022148,               0.004654,               0.004654,               0.004654
                     29,               0.077323,                 0.0551,               0.009962,               0.023416,                0.50338,                0.32944,                0.30633,                0.15762,                 0.4043,                0.26196,                 0.2113,               0.085077,                0.08241,               0.061932,               0.006071,               0.022072,               0.004456,               0.004456,               0.004456
                     30,               0.077101,                0.05501,                0.01002,               0.023311,                0.50516,                0.33035,                0.30792,                0.15876,                0.40673,                0.26346,                0.21306,               0.085966,               0.082304,               0.061836,              0.0060663,                0.02199,               0.004258,               0.004258,               0.004258
                     31,               0.077006,               0.054957,              0.0099413,                0.02328,                0.50683,                0.33142,                0.30938,                 0.1599,                0.40605,                0.26457,                0.21423,               0.086554,               0.082198,               0.061739,              0.0060616,               0.021907,                0.00406,                0.00406,                0.00406
                     32,               0.076833,               0.054634,              0.0099205,                0.02311,                0.50849,                 0.3326,                0.31079,                0.16108,                0.40731,                0.26547,                0.21579,               0.087387,               0.082097,               0.061638,              0.0060576,               0.021822,               0.003862,               0.003862,               0.003862
                     33,               0.076645,               0.054484,              0.0099121,               0.023013,                0.50915,                0.33304,                 0.3118,                0.16214,                0.41241,                0.26521,                0.21731,               0.087868,               0.081994,               0.061538,              0.0060543,               0.021736,               0.003664,               0.003664,               0.003664
                     34,               0.076502,               0.054428,              0.0098575,               0.022968,                0.51245,                0.33329,                0.31325,                0.16301,                0.41611,                0.26636,                0.21888,               0.088618,               0.081895,               0.061445,              0.0060503,               0.021651,               0.003466,               0.003466,               0.003466
                     35,                0.07635,                0.05413,              0.0098277,               0.022826,                0.51495,                 0.3332,                0.31435,                0.16426,                0.41731,                0.26741,                 0.2203,               0.089282,               0.081793,               0.061351,              0.0060456,               0.021566,               0.003268,               0.003268,               0.003268
                     36,               0.076104,                0.05415,              0.0098455,               0.022714,                0.51734,                0.33514,                0.31599,                0.16514,                0.41966,                0.26921,                 0.2219,               0.090219,               0.081694,               0.061256,              0.0060415,               0.021481,                0.00307,                0.00307,                0.00307
                     37,               0.075864,               0.053833,              0.0098333,               0.022483,                0.51513,                0.33737,                0.31722,                0.16618,                0.42011,                0.27046,                 0.2235,                0.09094,               0.081596,                0.06115,              0.0060372,               0.021398,               0.002872,               0.002872,               0.002872
                     38,               0.075773,               0.053984,              0.0098644,               0.022346,                0.51899,                0.33737,                0.31857,                 0.1672,                0.42419,                0.27098,                0.22513,               0.091876,               0.081491,               0.061038,              0.0060319,                0.02131,               0.002674,               0.002674,               0.002674
                     39,               0.075526,               0.053706,              0.0098743,               0.022247,                0.52378,                0.33766,                0.32007,                0.16835,                0.42667,                0.27179,                 0.2265,                0.09273,               0.081385,               0.060934,              0.0060273,               0.021226,               0.002476,               0.002476,               0.002476
                     40,                0.07546,                0.05371,              0.0098296,               0.022268,                0.52322,                0.33977,                0.32163,                0.16932,                0.42781,                0.27274,                0.22774,               0.093396,                0.08128,               0.060829,              0.0060229,               0.021139,               0.002278,               0.002278,               0.002278
                     41,               0.075109,               0.053488,               0.009795,               0.021965,                0.52354,                0.33995,                 0.3226,                0.17024,                0.42939,                0.27374,                0.22957,               0.094204,               0.081173,               0.060719,              0.0060185,               0.021051,                0.00208,                0.00208,                0.00208
                     42,               0.074851,               0.053206,              0.0097752,               0.021813,                 0.5254,                0.34124,                0.32439,                0.17126,                0.43284,                 0.2742,                0.23102,               0.095106,               0.081066,               0.060615,              0.0060142,               0.020967,               0.001882,               0.001882,               0.001882
                     43,               0.074632,               0.052827,              0.0097781,               0.021677,                0.52784,                0.34121,                0.32558,                0.17218,                0.43545,                0.27444,                0.23251,               0.095961,               0.080962,               0.060505,              0.0060101,                0.02088,               0.001684,               0.001684,               0.001684
                     44,               0.074303,                0.05272,              0.0097405,               0.021567,                0.53076,                0.34174,                 0.3271,                0.17312,                0.43595,                0.27534,                0.23418,               0.096724,               0.080852,                0.06039,              0.0060056,               0.020789,               0.001486,               0.001486,               0.001486
                     45,               0.074054,               0.052693,              0.0097195,               0.021399,                0.53184,                0.34249,                0.32817,                0.17399,                0.43829,                0.27693,                0.23607,               0.097587,               0.080743,               0.060267,              0.0060005,               0.020699,               0.001288,               0.001288,               0.001288
                     46,               0.073778,                0.05217,              0.0096167,               0.021144,                0.53436,                0.34348,                0.32973,                0.17499,                0.43896,                0.27836,                0.23767,               0.098427,               0.080634,               0.060154,               0.005996,                0.02061,                0.00109,                0.00109,                0.00109
                     47,               0.073537,               0.051915,               0.009619,               0.020933,                0.53463,                0.34504,                0.33114,                0.17606,                 0.4423,                0.27966,                0.23957,               0.099415,               0.080523,               0.060038,              0.0059903,               0.020519,               0.000892,               0.000892,               0.000892
                     48,               0.073253,               0.052094,              0.0096807,               0.020829,                 0.5357,                0.34679,                0.33283,                0.17701,                 0.4434,                0.28163,                0.24111,                0.10022,               0.080419,               0.059921,              0.0059852,               0.020432,               0.000694,               0.000694,               0.000694
                     49,               0.072752,               0.051613,              0.0095738,               0.020597,                0.53564,                  0.349,                 0.3344,                  0.178,                0.44421,                0.28344,                0.24278,                0.10098,               0.080322,               0.059811,                0.00598,               0.020348,               0.000496,               0.000496,               0.000496
                     50,                0.53595,                0.34903,                0.33446,                  0.178,                0.44453,                0.28346,                0.24277,                0.10093,               0.080322,               0.059811,              0.0059799,               0.020348
